origin_abbrev,origin_id,target_abbrev,target_id,projection_intensity
MM,491,mfbse,1083,7525.76002789448
MM,491,VTA,749,7512.07777396838
MPN,515,RE,181,7482.499007086991
MPN,515,DORpm,856,7482.499007086991
MPN,515,MTN,571,7482.499007086991
PH,946,PAG,795,7467.49496809777
AHN,88,LPO,226,7456.28140998516
LHA,194,PVHd,63,7453.018784049241
DMH,830,mtt,690,7445.20415840644
DMH,830,mfsbshy,824,7445.12146545375
DMH,830,mfbsma,46,7445.12146545375
ZI,797,RN,214,7415.8979467522595
MPO,523,AHN,88,7401.021868358209
DMH,830,mfbs,991,7396.229965664159
DMH,830,fiber tracts,1009,7396.22967725932
VMH,693,TH,549,7389.898955262221
PH,946,RAmb,165,7380.62642052547
PH,946,MBsta,348,7380.62642052547
PSTN,364,root,997,7375.19396734355
ZI,797,SGN,325,7368.7738395201095
PMv,1004,fiber tracts,1009,7367.924775355071
PMv,1004,mfsbshy,824,7367.9244026901
PMv,1004,mfbs,991,7367.92432145962
AHN,88,AM,127,7342.78896372932
DMH,830,MEZ,467,7317.49369399965
MPO,523,VMPO,576073699,7277.97665702966
ARH,223,HY,1097,7267.9201993405295
ARH,223,BS,343,7267.919461163459
ARH,223,IB,1129,7267.919461163459
ARH,223,grey,8,7267.919461163459
ARH,223,root,997,7267.90174435525
MPN,515,fiber tracts,1009,7240.544986965029
MPN,515,SBPV,347,7240.539260918291
ARH,223,ME,10671,7234.431905189709
MM,491,MBmot,323,7231.8289929106595
DMH,830,IB,1129,7220.16186702662
DMH,830,BS,343,7220.16186702662
DMH,830,grey,8,7220.16186702662
DMH,830,HY,1097,7220.161500830259
DMH,830,root,997,7220.04528663619
PH,946,PVZ,157,7217.6289580066505
PH,946,PVi,118,7217.6289580066505
PH,946,CM,599,7184.46236088567
MPN,515,LSv,266,7176.59384149533
MPN,515,PD,914,7168.64976486606
ZI,797,Eth,560581551,7155.017263403271
ZI,797,fi,603,7148.94824999875
ZI,797,MBsta,348,7147.28348537511
ZI,797,SNc,374,7147.28348537511
PH,946,ZI,797,7129.190455027049
ZI,797,POL,1029,7120.865868258141
ZI,797,VS,73,7099.390709947959
ZI,797,VL,81,7099.390709947959
AHN,88,ATN,239,7082.661741424259
PH,946,ILM,51,7055.56348892857
STN,470,LHA,194,7053.87475772109
PH,946,RSPd1,442,7043.62008878465
LHA,194,PAL,803,7037.018037203209
LHA,194,CH,567,7037.018037203209
LHA,194,CNU,623,7037.018037203209
MM,491,PMv,1004,7028.3315945798995
PMv,1004,mfbc,768,7025.41973897974
PMv,1004,fxs,1099,7025.41973897974
PMv,1004,fx,436,7025.41973897974
PMv,1004,fxpo,737,7025.41973897974
ZI,797,IntG,563807439,7018.264585085501
PSTN,364,LHA,194,7018.22374486285
PH,946,PF,930,7003.734887859499
STN,470,DORpm,856,7001.53863614443
PMv,1004,mfbsma,46,6999.304527507939
PMv,1004,mp,673,6999.304527507939
PH,946,IF,12,6996.47624015379
MPN,515,RCH,173,6995.67613924261
MPN,515,LZ,290,6995.256189108829
MM,491,PVp,126,6974.2555570163795
ZI,797,GENv,1014,6973.54690197949
ZI,797,cpd,924,6968.6689575030605
ADP,72,cm,967,6967.869162614449
ADP,72,In,840,6967.869162614449
ADP,72,aco,900,6967.869162614449
MPN,515,TU,614,6966.16073023701
TU,614,cm,967,6961.96291146209
TU,614,IIn,848,6961.96291146209
TU,614,opt,125,6961.96291146209
MM,491,PVR,141,6950.24579429005
MPO,523,fiber tracts,1009,6948.925499638989
MPO,523,PD,914,6937.0672409337
MPO,523,AVPV,272,6928.86012429464
STN,470,mfsbshy,824,6917.54432670558
STN,470,mfbs,991,6917.54432670558
STN,470,sup,349,6917.54432670558
MPN,515,och,117,6911.772051396761
MPN,515,IIn,848,6889.129091822379
MPN,515,cm,967,6889.129015328011
ZI,797,int,6,6869.38280053975
VMH,693,VM,685,6867.562434910999
VMH,693,DORsm,864,6867.562434910999
VMH,693,VENT,637,6867.562434910999
TU,614,AHN,88,6858.54642712876
MPN,515,grey,8,6851.079061924351
PH,946,RH,189,6846.4190184421495
MPN,515,PVR,141,6845.1255104818
PSTN,364,MBsta,348,6834.659501709821
PSTN,364,SNc,374,6834.659501709821
MPO,523,PS,1109,6834.30393389941
LHA,194,MEZ,467,6817.837655511221
ZI,797,cst,784,6815.66662962345
ZI,797,MBO,331,6813.7962219214005
PVHd,63,DMH,830,6808.13234508813
ZI,797,SUM,525,6807.539802402071
MPN,515,root,997,6803.94120869944
PMv,1004,LHA,194,6791.81681085942
PMv,1004,LZ,290,6785.62460176489
ZI,797,LAT,138,6762.354374938111
LHA,194,PMd,980,6749.298020345339
ZI,797,drt,792,6739.15695483953
ZI,797,ml,697,6739.15695483953
ZI,797,cett,932,6739.15695483953
ZI,797,MT,58,6736.94527926535
ZI,797,cm,967,6733.30678254349
AHN,88,AVP,263,6731.15829968734
PVp,126,PVi,118,6729.0657007391
AHN,88,mfsbshy,824,6727.897336427281
SUM,525,MMl,606826647,6726.36746382788
PH,946,DMH,830,6719.6726501660305
PH,946,PVR,141,6719.6726501660305
DMH,830,LZ,290,6708.70382554314
ZI,797,PF,930,6693.33288129528
MPN,515,LSc,250,6692.59038348801
MPN,515,LS,242,6686.69624939933
ARH,223,PVp,126,6658.126981541229
DMH,830,Xi,560581559,6656.9777180888295
LM,210,root,997,6652.42539229797
AHN,88,VMPO,576073699,6649.27293451589
MPO,523,BST,351,6641.88213373
MPO,523,PALc,809,6641.85969422943
PVH,38,PVZ,157,6623.06551750194
ARH,223,TMv,1,6599.26144788916
DMH,830,PMv,1004,6592.58005087191
PH,946,RSPd,879,6590.448966401539
MM,491,PG,931,6587.416739628809
MM,491,P-mot,987,6587.416739628809
MPN,515,LSX,275,6578.993871096391
STN,470,VM,685,6566.3986050537405
PH,946,MMl,606826647,6559.36972877208
AHN,88,mfbse,1083,6557.58141212269
AHN,88,sm,802,6557.58141212269
MM,491,IF,12,6554.5406666831395
MPN,515,STR,477,6543.56786744357
DMH,830,PVi,118,6526.51963272072
PMv,1004,PH,946,6512.8561450550205
PH,946,VMH,693,6491.56561380636
PVH,38,HY,1097,6491.25247071909
PVH,38,root,997,6491.17892155619
PVH,38,BS,343,6491.1785025732
PVH,38,IB,1129,6491.1785025732
PVH,38,grey,8,6491.1785025732
PMv,1004,LM,210,6480.4644248001405
DMH,830,AHN,88,6479.05566056494
DMH,830,PH,946,6458.91790569833
MPN,515,AHN,88,6456.45509981965
MM,491,fxpo,737,6451.207041708841
MM,491,fx,436,6451.207041708841
MM,491,fxs,1099,6451.207041708841
MM,491,mfbc,768,6451.207041708841
SUM,525,MBO,331,6447.27266625804
PVp,126,MBO,331,6446.7985650826295
DMH,830,PVZ,157,6444.331769642161
LM,210,MMm,606826651,6437.29822268609
LHA,194,SUM,525,6428.0829217618
LHA,194,MB,313,6427.12680022566
ZI,797,VISpm1,805,6425.76950809213
PVp,126,TM,557,6423.382685080171
ARH,223,PVR,141,6406.636777987471
MPN,515,V3,129,6399.20380254317
ZI,797,lfbst,896,6384.246814972629
ZI,797,ar,484682524,6384.246814972629
LHA,194,cst,784,6379.51994936155
LHA,194,lfbs,983,6379.51994936155
LHA,194,int,6,6379.51994936155
MM,491,VS,73,6366.6720000664
MM,491,V3,129,6366.6720000664
MPO,523,mfsbshy,824,6362.49469325205
MPO,523,mfb,54,6362.49469325205
PH,946,SPFp,422,6337.1513417467895
MM,491,TMd,1126,6330.963565445661
LHA,194,MT,58,6330.7761151535
SCH,286,SBPV,347,6330.438493494929
STN,470,IIn,848,6325.71616179443
STN,470,opt,125,6325.71616179443
STN,470,cm,967,6325.71616179443
LHA,194,PeF,576073704,6314.61474226957
ZI,797,VISam1,281,6312.69091094226
ZI,797,VISam6a,1046,6300.103956294761
ZI,797,LP,218,6296.8946504594105
LM,210,IB,1129,6293.01236720787
LM,210,HY,1097,6293.01208861038
ZI,797,PO,1020,6289.788425255289
PVp,126,TMd,1126,6278.65635490854
STN,470,PSTN,364,6276.37118185074
SUM,525,MMd,606826659,6276.24408403916
PMv,1004,PVi,118,6270.53856745533
MPN,515,VS,73,6263.383471228929
MM,491,IPR,607344834,6250.528025633161
ZI,797,VISpm6a,257,6241.71486264692
ADP,72,act,908,6234.686118015329
MPN,515,LSr,258,6222.13065887526
DMH,830,PVH,38,6221.678780819329
TMv,1,root,997,6219.904237924439
SUM,525,MEZ,467,6211.83343646412
LM,210,BS,343,6206.29427830624
LM,210,grey,8,6206.29427830624
DMH,830,CM,599,6204.58895069729
SUM,525,IB,1129,6204.43780919426
SUM,525,HY,1097,6204.437620654539
ZI,797,lfbs,983,6198.55121185276
LHA,194,RCH,173,6185.3774006008
PH,946,IMD,59,6181.67741936145
LHA,194,PH,946,6176.701745178089
LHA,194,pm,753,6173.645342357261
LHA,194,mfbsma,46,6173.645342357261
LM,210,MT,58,6172.40976969448
TU,614,PeF,576073704,6164.72039012781
MM,491,FF,804,6163.989036609621
MM,491,ZI,797,6163.989036609621
PH,946,MRN,128,6155.87373494463
MPN,515,TH,549,6144.29156960552
VMH,693,MMl,606826647,6136.782862921539
PVp,126,DMH,830,6136.52283014303
MPN,515,CNU,623,6131.324240913411
SUM,525,MM,491,6126.63028423874
ZI,797,pm,753,6124.66865963871
TU,614,LHA,194,6123.7142748077795
LPO,226,MPO,523,6120.56615060561
AHN,88,AMd,1096,6120.54622163754
PMv,1004,TU,614,6109.05320293542
ADP,72,BST,351,6087.40675136796
ADP,72,PALc,809,6087.40675136796
TMv,1,IB,1129,6076.253487965179
TMv,1,HY,1097,6076.25341790314
AHN,88,IAD,1113,6074.81506949255
DMH,830,pm,753,6069.19570202812
TMv,1,grey,8,6068.724988459289
TMv,1,BS,343,6068.724988459289
MPN,515,CH,567,6065.58945572787
PMv,1004,MMm,606826651,6057.57200409573
MM,491,MRN,128,6046.64252177276
MPN,515,PeF,576073704,6045.568079355029
PVH,38,PeF,576073704,6018.747570507559
LPO,226,AVP,263,5995.70494206136
ADP,72,STR,477,5992.88018386182
ZI,797,LGv,178,5984.398645728111
LPO,226,PVR,141,5968.1457969045105
LM,210,MBO,331,5964.18651556057
ADP,72,PALm,826,5960.4407639868705
ADP,72,MSC,904,5960.4407639868705
ADP,72,MS,564,5960.4407639868705
ADP,72,fiber tracts,1009,5952.155693786291
LM,210,MEZ,467,5946.86975473599
PH,946,RSPd5,610,5937.91656300021
ZI,797,LHA,194,5933.16924320565
DMH,830,MMm,606826651,5912.57537044391
MPN,515,SF,310,5904.8627286337
LM,210,PMv,1004,5903.521030297261
DMH,830,MM,491,5901.88898046588
MPO,523,CNU,623,5895.25376760792
MPO,523,CH,567,5895.25376760792
MPO,523,PAL,803,5895.253668563941
PSTN,364,cpd,924,5893.07115750432
MM,491,PSTN,364,5885.454100041679
ZI,797,PCN,907,5881.92374996075
LM,210,LZ,290,5880.169013990079
LM,210,LHA,194,5880.169013990079
ZI,797,PAL,803,5879.799049000861
ZI,797,CNU,623,5879.799001932621
PH,946,IPRL,607344862,5869.702354184301
ZI,797,SI,342,5867.70559477162
ZI,797,PALv,835,5867.70559477162
LHA,194,mfsbshy,824,5866.674174330899
LHA,194,sup,349,5866.674174330899
LHA,194,MMl,606826647,5839.7075708127695
DMH,830,TM,557,5824.22548052508
DMH,830,TMd,1126,5824.22548052508
TMv,1,PMv,1004,5812.56237183144
ADP,72,CNU,623,5805.19755388145
STN,470,ZI,797,5798.94943638024
TMv,1,TM,557,5779.117705592779
PH,946,CA1,382,5774.95787177408
ARH,223,LZ,290,5766.095991798249
ARH,223,TU,614,5766.095991798249
TMv,1,MEZ,467,5765.61616823536
DMH,830,MBO,331,5762.7296725060105
TMv,1,LM,210,5752.377094322479
AHN,88,och,117,5735.61690559624
AHN,88,cm,967,5735.61690559624
AHN,88,IIn,848,5735.61690559624
LHA,194,MBO,331,5734.78429047304
TMv,1,MBO,331,5732.266411664649
PH,946,TMv,1,5721.542680069929
PH,946,DG-sg,632,5714.110614820861
DMH,830,MMme,732,5708.381488447951
LHA,194,MBmot,323,5708.01386633489
MPN,515,BST,351,5700.2888985428
ZI,797,SPFm,414,5693.6303702285795
SUM,525,BS,343,5692.39102428822
SUM,525,grey,8,5692.39102428822
ADP,72,CH,567,5690.1555275171395
LM,210,TMv,1,5688.38722074375
LM,210,TM,557,5684.28030597433
SUM,525,LM,210,5678.02635680046
STN,470,LD,155,5677.94581794127
STN,470,ATN,239,5677.94581794127
MPN,515,PALc,809,5677.82242008224
STN,470,epsc,760,5674.06163881452
STN,470,eps,1000,5674.06163881452
STN,470,nst,102,5674.06163881452
LHA,194,AHN,88,5671.75737651895
AHN,88,AVPV,272,5652.77881259509
LM,210,PMd,980,5649.40584952728
LHA,194,LM,210,5628.80026230437
TU,614,SO,390,5619.55463880495
ZI,797,mfbse,1083,5608.184147539449
ZI,797,fr,595,5608.184147539449
SUM,525,root,997,5606.2528955758
PH,946,Isocortex,315,5602.4728530263
PH,946,CTX,688,5602.4728530263
PH,946,RSP,254,5602.4728530263
PH,946,CH,567,5602.4728530263
PH,946,CTXpl,695,5602.4728530263
PVH,38,act,908,5601.483249011851
MPN,515,VMH,693,5591.95026584692
MPO,523,mfbs,991,5587.407111602281
ZI,797,IIn,848,5566.38566260489
ZI,797,opt,125,5566.38566260489
PH,946,CA,375,5560.744919193249
PVHd,63,AHN,88,5546.298474943011
MM,491,PVZ,157,5529.29733595397
MM,491,PVi,118,5529.29733595397
PSTN,364,fiber tracts,1009,5523.1572063523
DMH,830,ARH,223,5521.07796259438
ADP,72,root,997,5505.785656122211
ADP,72,grey,8,5496.86930763714
MPN,515,fx,436,5494.84618040515
MPN,515,mfbc,768,5494.84618040515
MPN,515,fxs,1099,5494.84618040515
MPN,515,fxpo,737,5494.84618040515
DMH,830,PMd,980,5494.556421665759
MPO,523,PVZ,157,5494.19489036471
MPO,523,SO,390,5494.19489036471
LHA,194,TH,549,5487.30312323613
SUM,525,mfbsma,46,5484.50919608452
SUM,525,mp,673,5484.50919608452
PH,946,PSTN,364,5466.20119895455
PH,946,MD,362,5459.69760159049
DMH,830,ILM,51,5439.9590210957895
LHA,194,MM,491,5425.66300583884
MPN,515,PAL,803,5423.40230851485
SUM,525,mfbs,991,5406.11117313233
SUM,525,mfsbshy,824,5406.11117313233
SUM,525,fiber tracts,1009,5406.11116629086
ZI,797,SSp-tr4,1086,5401.55879875614
LPO,226,HY,1097,5389.50985326325
LPO,226,IB,1129,5389.509712927071
LPO,226,BS,343,5389.509712927071
PVH,38,fx,436,5383.89687198334
PH,946,TU,614,5369.52327837511
PSTN,364,PST,356,5361.2689741
MPN,515,PS,1109,5356.63861582711
MM,491,RN,214,5356.226451272921
ADP,72,PVR,141,5354.99270428611
PH,946,IPL,607344846,5352.93384913529
ZI,797,mfbs,991,5341.19931335928
ZI,797,mfbc,768,5341.19931335928
ZI,797,fxs,1099,5341.19931335928
ZI,797,alv,466,5340.44554856693
LHA,194,PALv,835,5339.94492871451
LHA,194,SI,342,5339.94492871451
PVH,38,fxpo,737,5336.133795788811
PVH,38,fxs,1099,5336.133795788811
PMv,1004,VMH,693,5331.55755676905
LHA,194,VM,685,5329.87523930891
LHA,194,DORsm,864,5329.87523930891
LHA,194,VENT,637,5329.87523930891
PH,946,PVT,149,5329.302771064749
LPO,226,grey,8,5325.58080929096
LPO,226,root,997,5324.87431135068
PVH,38,mfbc,768,5320.7822469676
VMH,693,IIn,848,5313.61248502556
VMH,693,och,117,5313.61248502556
VMH,693,cm,967,5313.61248502556
PH,946,PCN,907,5313.4406524836895
LM,210,SUM,525,5307.906966514461
TMv,1,MB,313,5306.33076613409
ZI,797,mtt,690,5303.34599291574
PH,946,ccb,484682516,5302.56754042563
PH,946,lfbs,983,5302.56754042563
PH,946,cc,776,5302.56754042563
MM,491,SNr,381,5299.05007402247
PH,946,HIP,1080,5288.43970802489
ZI,797,VTA,749,5287.24234594654
PMv,1004,MB,313,5274.28770963727
VMH,693,opt,125,5274.144064397
PVH,38,mfbs,991,5271.87332940128
MM,491,EW,975,5267.97215289387
LM,210,PVp,126,5260.48711348233
LM,210,PVR,141,5260.48711348233
PH,946,RSPv5,687,5259.0531771756105
SUM,525,IPRL,607344862,5255.97719713556
SUM,525,PH,946,5253.536862122821
MPO,523,IIn,848,5234.308107040921
MPO,523,cm,967,5229.08569462122
ADP,72,HY,1097,5224.89802653881
ADP,72,BS,343,5224.89777300361
ADP,72,IB,1129,5224.89777300361
PH,946,RSPv,886,5211.8395944504
PVH,38,TH,549,5199.90451329433
MPN,515,ASO,332,5199.79782822367
PH,946,FC,982,5196.254723508599
PMv,1004,VS,73,5194.16236713122
PMv,1004,V3,129,5194.16236713122
PH,946,HPF,1089,5182.69468758563
PSTN,364,epsc,760,5172.17674501635
PSTN,364,nst,102,5172.17674501635
PSTN,364,eps,1000,5172.17674501635
LHA,194,SO,390,5144.380776187671
LHA,194,PVZ,157,5144.380776187671
ARH,223,VMH,693,5138.93345661618
DMH,830,fxs,1099,5135.38059251704
DMH,830,fx,436,5135.38059251704
DMH,830,fxpo,737,5135.38059251704
DMH,830,mfbc,768,5135.38059251704
ZI,797,MEZ,467,5134.41968319089
ZI,797,RT,262,5117.89303861027
STN,470,VPL,718,5114.335728056721
PVHd,63,PVi,118,5107.23651022231
PMv,1004,MM,491,5104.31805359401
PMv,1004,MMl,606826647,5104.31805359401
MPO,523,fxpo,737,5101.18762950147
MPO,523,fxs,1099,5101.18762950147
MPO,523,fx,436,5101.18762950147
LM,210,TMd,1126,5101.15537371801
MPN,515,VL,81,5093.58569034109
ZI,797,PH,946,5091.56673582922
